Session, Timestamp, Quiz_location, Action_type, parameters
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:15:25.991134, QUIZ, START, 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:15:58.759869, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:16:26.869681, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:16:40.272617, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:16:46.241500, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:17:02.509475, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:17:22.123286, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:17:37.198468, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:18:14.166419, QUESTION 8, SUBMIT, answer=23; correct=False; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:18:50.138433, QUESTION 9, SUBMIT, answer=3; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:19:10.362155, QUESTION 10, SUBMIT, answer=2; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:19:27.123283, QUESTION 11, SUBMIT, answer=2; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:19:30.245129, QUESTION 12, SUBMIT, answer=1; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:19:40.419069, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:19:46.380551, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:20:20.355927, QUESTION 15, SUBMIT, answer=GB; correct=False; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:20:27.162978, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:20:47.007918, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:20:54.712167, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:21:25.527710, QUESTION 19, SUBMIT, answer=Yes; correct=True; graph=mix; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:21:41.496661, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:21:57.867970, QUESTION 21, SUBMIT, answer=area; correct=False; graph=N/A; 
7d0cfaee-2731-443c-9df7-19d8d9d2fca6, 2023-12-09 15:21:57.868135, QUIZ, END, 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:23:18.241479, QUIZ, START, 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:23:33.314614, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:23:43.362356, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:23:55.435153, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:24:05.576960, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:24:25.715044, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:24:46.170271, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:25:00.037099, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:25:36.601300, QUESTION 8, SUBMIT, answer=27; correct=False; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:25:54.042345, QUESTION 9, SUBMIT, answer=3; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:26:03.224174, QUESTION 10, SUBMIT, answer=2; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:26:14.651054, QUESTION 11, SUBMIT, answer=2; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:26:18.170939, QUESTION 12, SUBMIT, answer=1; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:26:24.905301, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:26:30.056310, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:27:06.211295, QUESTION 15, SUBMIT, answer=GB; correct=False; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:27:13.309189, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:27:17.415348, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:27:26.782225, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:27:31.442267, QUESTION 19, SUBMIT, answer=Yes; correct=True; graph=mix; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:27:56.397241, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:28:02.412875, QUESTION 21, SUBMIT, answer=area; correct=False; graph=N/A; 
1e9d4ce8-0628-4caa-8026-26a8f1a5f246, 2023-12-09 15:28:02.413056, QUIZ, END, 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:33:45.202244, QUIZ, START, 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:34:24.554596, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:35:36.575552, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:35:51.588738, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:36:14.286650, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:36:35.824740, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:37:41.359865, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:38:03.710546, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:38:55.617221, QUESTION 8, SUBMIT, answer=31; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:39:46.476121, QUESTION 9, SUBMIT, answer=3; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:01.569300, QUESTION 10, SUBMIT, answer=2; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:10.052761, QUESTION 11, SUBMIT, answer=2; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:17.485868, QUESTION 12, SUBMIT, answer=3; correct=False; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:23.457926, QUESTION 13, SUBMIT, answer=1; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:33.243275, QUESTION 14, SUBMIT, answer=1; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:45.077794, QUESTION 15, SUBMIT, answer=GB; correct=False; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:40:54.983871, QUESTION 16, SUBMIT, answer=JP; correct=True; graph=line; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:08.134903, QUESTION 17, SUBMIT, answer=GER; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:17.672960, QUESTION 18, SUBMIT, answer=GER; correct=True; graph=area; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:39.131210, QUESTION 19, SUBMIT, answer=No; correct=False; graph=mix; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:51.684351, QUESTION 20, SUBMIT, answer=No; correct=True; graph=mix; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:59.107361, QUESTION 21, SUBMIT, answer=line; correct=False; graph=N/A; 
89e40f89-d2c2-4c8f-8bcc-43ba05a9029b, 2023-12-09 17:41:59.107548, QUIZ, END, 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:24:58.779168, QUIZ, START, 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:25:33.878596, QUESTION 1, SUBMIT, answer=A; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:26:24.379531, QUESTION 2, SUBMIT, answer=A; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:26:49.602821, QUESTION 3, SUBMIT, answer=A; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:26:59.197858, QUESTION 4, SUBMIT, answer=A; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:27:18.201801, QUESTION 5, SUBMIT, answer=B; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:27:33.373358, QUESTION 6, SUBMIT, answer=25; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:28:23.108263, QUESTION 7, SUBMIT, answer=B; correct=True; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:28:36.516009, QUESTION 8, SUBMIT, answer=27; correct=False; graph=area; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:29:38.857783, QUESTION 9, SUBMIT, answer=3; correct=True; graph=line; 
bf8be600-349f-4d39-be44-0aefcd4cd0ff, 2023-12-09 18:30:35.553500, QUESTION 10, SUBMIT, answer=2; correct=True; graph=line; 
